file,class,is_dispatch,bases,attr_key,attr_val,method_signature,method_doc
3DXMLPluginExplorerAddIn.py,CATI3DXMLPluginExplorerAddInATLInstance,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
3DXMLPluginExplorerAddIn.py,CATI3DXMLPluginExplorerAddInATLInstance,True,DispatchBaseClass,CLSID,IID('{A04455DA-A75A-46CC-B36D-59630680AE0D}'),,
3DXMLPluginExplorerAddIn.py,CATI3DXMLPluginExplorerAddInATLInstance,True,DispatchBaseClass,coclass_clsid,IID('{DC1D6544-747A-4177-A7CF-FF19C3818540}'),,
3DXMLPluginExplorerAddIn3D.py,CATI3DXMLPluginExplorerAddIn3DATLInstance,True,DispatchBaseClass,,,"CreatePreview3D(self, iHwnd, iPath)",method CreatePreview3D
3DXMLPluginExplorerAddIn3D.py,CATI3DXMLPluginExplorerAddIn3DATLInstance,True,DispatchBaseClass,,,DestroyPreview3D(self),method DestroyPreview3D
3DXMLPluginExplorerAddIn3D.py,CATI3DXMLPluginExplorerAddIn3DATLInstance,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
3DXMLPluginExplorerAddIn3D.py,CATI3DXMLPluginExplorerAddIn3DATLInstance,True,DispatchBaseClass,CLSID,IID('{1E48D04B-1A02-43D3-8258-23BC14647407}'),,
3DXMLPluginExplorerAddIn3D.py,CATI3DXMLPluginExplorerAddIn3DATLInstance,True,DispatchBaseClass,coclass_clsid,IID('{2ED2F08A-C6E0-485D-9373-A8E54515B614}'),,
BehaviorTypeLib.py,DPCOperation,True,DispatchBaseClass,,,"GetItem(self, IDName)",
BehaviorTypeLib.py,DPCOperation,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
BehaviorTypeLib.py,DPCOperation,True,DispatchBaseClass,CLSID,IID('{FCBDCAAE-2946-11D3-B051-F06094EB7DE3}'),,
BehaviorTypeLib.py,DPCOperation,True,DispatchBaseClass,coclass_clsid,None,,
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"GetInput(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"GetInternal(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"GetItem(self, IDName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"GetOutput(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"PutInternal(self, pName, iValue)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"PutOutput(self, pName, iValue)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"TestInput(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"TestInternal(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,"TestOutput(self, pName)",
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,CLSID,IID('{FCCCCAAE-2846-12D3-B051-F06074EB7DE3}'),,
BehaviorTypeLib.py,DPCOperationVBScript,True,DispatchBaseClass,coclass_clsid,None,,
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,"GetItem(self, IDName)",
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,"Item(self, iIndex)",
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,"Operate(self, OperationName)",
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,"__getitem__(self, key)",
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,__len__(self),
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,,,__nonzero__(self),
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,CLSID,IID('{7ACD9BE6-3CBE-11D3-B051-F06094EB7DE3}'),,
BehaviorTypeLib.py,DPCOperations,True,DispatchBaseClass,coclass_clsid,None,,
CAT3DXMLPlayerBehaviorEmbed.py,CAT3DXMLPlayerBehaviorEmbedInterface,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
CAT3DXMLPlayerBehaviorEmbed.py,CAT3DXMLPlayerBehaviorEmbedInterface,True,DispatchBaseClass,CLSID,IID('{B6334D96-0F32-411F-A7C2-13E22407B1C2}'),,
CAT3DXMLPlayerBehaviorEmbed.py,CAT3DXMLPlayerBehaviorEmbedInterface,True,DispatchBaseClass,coclass_clsid,IID('{31A99AEC-BB8F-403D-95BF-99853D44268E}'),,
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,,,GetCategory(self),
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,,,"GetItem(self, IDName)",
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,,,"SetCategory(self, iCategory)",
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,CLSID,IID('{B967CEE0-6BE6-4276-BF09-B3A5BFF435DD}'),,
CATAGTIDLTypeLib.py,AGTCategoryMngt,True,DispatchBaseClass,coclass_clsid,None,,
CATAGTIDLTypeLib.py,AGTConnector,True,DispatchBaseClass,,,"GetItem(self, IDName)",
CATAGTIDLTypeLib.py,AGTConnector,True,DispatchBaseClass,,,__iter__(self),Return a Python iterator for this object
CATAGTIDLTypeLib.py,AGTConnector,True,DispatchBaseClass,CLSID,IID('{745CA111-32F3-4792-9B98-E67FA3E128E2}'),,
CATAGTIDLTypeLib.py,AGTConnector,True,DispatchBaseClass,coclass_clsid,None,,
